Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Mehdi Abdesmad,DE,Boston Col.,6-6,284,5.10,29.5,25,108,7.55,4.62
Vernon Adams,QB,Oregon,5-11,200,4.83,29.5,,114,6.82,4.20
Jerell Adams,TE,South Carolina,6-5,247,4.64,32.5,,117,7.05,4.31
Bralon Addison,WR,Oregon,5-9,197,4.66,34.5,13,116,6.95,4.14
Roberto Aguayo,K,Florida State,6-0,207,4.96,,,,,
Dominique Alexander,ILB,Oklahoma,6-0,232,4.64,28.5,17,104,,
Mackensie Alexander,CB,Clemson,5-10,190,4.43,,11,,,
Vadal Alexander,OT,LSU,6-5,326,5.57,24.0,25,95,8.04,4.90
Brandon Allen,QB,Arkansas,6-1,217,4.84,28.0,,110,7.06,4.33
Jack Allen,C,Michigan State,6-1,294,5.29,26.5,23,101,7.90,4.73
Geronimo Allison,WR,Illinois,6-3,196,4.67,33.0,,127,7.40,4.28
Stephen Anderson,TE,California,6-2,230,4.59,38.0,16,119,,
Eli Apple,CB,Ohio State,6-1,199,4.40,,13,,,
Demarcus Ayers,WR,Houston,5-9,182,4.72,33.0,,123,,
Sterling Bailey,DE,Georgia,6-4,285,5.23,30.0,20,111,7.46,4.73
Peyton Barber,RB,Auburn,5-10,228,4.64,32.5,20,111,7.00,4.21
Jimmy Bean,DE,Oklahoma State,6-5,264,4.87,,20,,,
Willie Beavers,OT,West. Michigan,6-5,321,5.28,25.5,20,103,7.96,4.71
Vonn Bell,S,Ohio State,5-11,199,4.52,,16,,,
Caleb Benenoch,OT,UCLA,6-5,311,4.98,28.0,,104,8.15,5.11
Andrew Billings,DT,Baylor,6-1,311,5.05,27.5,31,113,8.05,4.82
Ronald Blair,DE,Appalachian State,6-2,284,5.15,30.0,32,113,7.95,4.53
Austin Blythe,C,Iowa,6-2,298,5.36,27.5,29,99,7.52,4.53
Briean Boddy-Calhoun,CB,Minnesota,5-9,193,4.47,35.0,10,123,7.16,4.22
Evan Boehm,C,Missouri,6-2,302,5.33,28.5,24,96,7.52,4.69
Devante Bond,OLB,Oklahoma,6-1,235,4.70,37.5,21,121,7.07,4.36
Devontae Booker,RB,Utah,5-11,219,4.56,,22,,,
Joey Bosa,DE,Ohio State,6-5,269,4.86,32.0,24,120,6.89,4.21
Tyler Boyd,WR,Pittsburgh,6-1,197,4.58,34.0,11,119,6.90,4.35
Trevone Boykin,QB,TCU,6-0,212,4.77,32.0,,110,,4.40
James Bradberry,CB,Samford,6-1,211,4.50,36.0,16,124,6.91,4.21
Ben Braunecker,TE,Harvard,6-3,250,4.73,35.5,20,121,6.90,4.20
Jake Brendel,C,UCLA,6-3,303,5.01,28.0,25,108,7.31,4.27
Jacoby Brissett,QB,North Carolina State,6-4,231,4.94,31.0,,113,7.17,4.53
Kentrell Brothers,OLB,Missouri,6-0,245,4.89,28.5,19,110,6.99,4.11
Anthony Brown,CB,Purdue,5-11,192,4.33,35.0,19,115,7.03,4.19
Beniquez Brown,OLB,Mississippi State,6-1,229,4.77,31.0,18,110,7.07,4.28
Chris Brown,WR,Notre Dame,6-2,194,4.48,,,,,
Lamarcus Brutus,S,Florida State,6-0,206,4.76,33.0,14,114,7.08,4.33
Deforest Buckner,DE,Oregon,6-7,291,5.05,32.0,,116,7.51,4.47
Jonathan Bullard,DE,Florida,6-3,285,4.93,32.0,23,116,7.31,4.56
Aaron Burbridge,WR,Michigan State,6-0,206,4.56,30.5,20,115,7.22,4.31
Artie Burns,CB,Miami (FL),6-0,193,4.46,31.5,,,,
Juston Burris,CB,North Carolina State,6-0,212,4.53,36.5,19,122,7.10,4.40
Deon Bush,S,Miami (FL),6-0,199,4.64,36.0,17,123,,
Vernon Butler,DT,Louisiana Tech,6-4,323,5.33,29.5,26,104,7.82,4.76
Devon Cajuste,WR,Stanford,6-4,234,4.62,36.0,12,123,6.49,4.20
Shilique Calhoun,DE,Michigan State,6-4,251,4.82,35.0,23,115,6.97,4.25
Taveze Calhoun,CB,Mississippi State,6-0,192,4.58,33.5,14,,,
De'Vondre Campbell,OLB,Minnesota,6-4,232,4.58,34.0,16,116,,

Maurice Canady,CB,Virginia,6-1,193,4.49,38.0,16,124,7.03,4.09
Leonte Carroo,WR,Rutgers,6-0,211,4.50,35.5,14,120,,
Tra Carson,RB,Texas A&M,5-11,227,4.63,,19,,,
Tevin Carter,S,Utah,6-1,218,4.48,,19,,,
Jeremy Cash,S,Duke,6-0,212,4.56,,,,,
Joseph Cheek,OG,Texas A&M,6-6,295,5.27,,20,,,
Kenny Clark,DT,UCLA,6-3,314,5.06,28.5,29,102,,4.62
Le'Raven Clark,OT,Texas Tech,6-5,316,5.16,,18,,,
Corey Coleman,WR,Baylor,5-11,194,4.42,40.5,17,129,,
