"Player","School","Class","Birthdate","Years","Final Age","Position","Combine","Height","Weight","Hand","Arm","Wing","Forty","Bench","Vert","Broad","Cone","Shuttle"
"Israel Abanikanda","Pittsburgh","2020","10/5/2002","3","20.3","RB","1","71.0","216","8.3",,,,,,,,
"Kendre Miller","Texas Christian","2020","6/11/2002","3","20.6","RB","1","71.0","215","9.4","32.4",,,,,,,
"Anthony Richardson","Florida","2020","5/22/2002","3","20.6","QB","1","75.8","244","10.5","32.8",,"4.4",,"40.5","129.0",,
"Kayshon Boutte","Louisiana State","2020","5/7/2002","3","20.7","WR","1","71.1","195","9.5","31.4",,"4.5",,"29","118.0",,"4.25"
"Parker Washington","Penn State","2020","3/21/2002","3","20.8","WR","1","69.6","204","10.1",,,,,,,,
"Jahmyr Gibbs","Alabama","2020","3/20/2002","3","20.8","RB","1","69.1","199","9.3","30.5",,"4.4",,"33.5",,,
"Marvin Mims","Oklahoma","2020","3/19/2002","3","20.8","WR","1","71.3","183",,"31.6",,"4.4",,"39.5","129.0","6.9",
"Jaxon Smith-Njigba","Ohio State","2020","2/14/2002","3","20.9","WR","1","72.6","196",,"30.5",,,,"35","125.0","6.57","3.93"
"Bijan Robinson","Texas","2020","1/30/2002","3","20.9","RB","1","71.0","215","9.8","31.1",,"4.5",,"37","124.0",,
"Jordan Addison","Southern California","2020","1/27/2002","3","20.9","WR","1","71.1","173","8.8","30.9",,"4.5",,"34","122.0",,
"Keaton Mitchell","East Carolina","2020","1/17/2002","3","21.0","RB","1","68.0","179","9.3","30.8",,"4.4",,"38","126.0",,
"Deuce Vaughn","Kansas State","2020","11/2/2001","3","21.2","RB","1","65.0","179","9.5","27.8",,,,"35.5","116.0",,
"Sean Tucker","Syracuse","2020","10/25/2001","3","21.2","RB","1","69.0","207","9.5",,,,,,,,
"Devon Achane","Texas A&amp;M","2020","10/13/2001","3","21.2","RB","1","68.6","188","8.5",,,"4.3",,"33",,,
"Tyler Scott","Cincinnati","2020","10/12/2001","3","21.2","WR","1","69.6","177",,"30.9",,"4.4",,"39.5","133.0",,
"C.J. Stroud","Ohio State","2020","10/3/2001","3","21.3","QB","1","75.0","214",,"32.6",,,,,,,
"Jalin Hyatt","Tennessee","2020","9/25/2001","3","21.3","WR","1","72.1","176",,"32.5",,"4.4",,"40","135.0",,
"Quentin Johnston","Texas Christian","2020","9/6/2001","3","21.3","WR","1","74.8","208","9.6","33.6",,,,"40.5","134.0",,
"Tank Bigsby","Auburn","2020","8/30/2001","3","21.4","RB","1","72.0","210","9.5",,,"4.6",,"32.5","119.0",,
"Darnell Washington","Georgia","2020","8/17/2001","3","21.4","TE","1","78.6","264",,"34.4",,"4.6",,"31","122.0",,"4.08"
"Lew Nichols","Central Michigan","2019","8/16/2001","4","21.4","RB","0",,,,,,,,,,,
"Josh Downs","North Carolina","2020","8/12/2001","3","21.4","WR","1","69.1","171","9.3","30.4",,"4.5",,"38.5","131.0",,
"Bryce Young","Alabama","2020","7/25/2001","3","21.4","QB","1","70.1","204","9.8","30.5",,,,,,,
"DeWayne McBride","Alabama-Birmingham","2020","7/8/2001","3","21.5","RB","1","71.0","209","9.5","30.6",,,,,,,
"Michael Mayer","Notre Dame","2020","7/6/2001","3","21.5","TE","1","76.5","249","9.5","31.6",,"4.7",,"32.5","118.0",,
"Grant Dubose","Charlotte","2019","6/20/2001","4","21.5","WR","1","74.4","201","9.5","31.9",,"4.6",,"35","125.0","6.89","4.32"
"Tiyon Evans","Louisville","2019","6/17/2001","4","21.6","RB","1","69.6","225","8.5","30.4",,"4.5",,"30.5",,,
"Tyjae Spears","Tulane","2019","6/15/2001","4","21.6","RB","1","71.0","201",,"30.8",,,,"39","125.0",,
"Puka Nacua","Brigham Young","2019","5/29/2001","4","21.6","WR","1","73.6","201","9.5","31.5",,,,,,,
"Jahleel Billingsley","Texas","2019","5/17/2001","4","21.6","TE","0",,,,,,,,,,,
"Jalen Cropper","Fresno State","2019","5/3/2001","4","21.7","WR","1","71.1","172","8.9","30.1",,"4.4",,,"121.0",,
"Rashee Rice","Southern Methodist","2019","4/22/2001","4","21.7","WR","1","72.5","204","9.5","32.8",,"4.5",,"41","128.0",,
"Jonathan Mingo","Mississippi","2019","4/20/2001","4","21.7","WR","1","73.8","220","10.4","32.1",,"4.5",,"39.5","129.0",,
"Jadon Haselwood","Arkansas","2019","4/15/2001","4","21.7","WR","1","74.1","215",,"31.3",,"4.7",,"37","123.0","6.98","4.31"
"Trey Palmer","Nebraska","2019","4/2/2001","4","21.8","WR","1","72.0","192","9.6","31.9",,"4.3",,,,,
"Zach Evans","Mississippi","2020","3/30/2001","3","21.8","RB","1","71.0","202","10.3","31.6",,,,,,,
"Tre Tucker","Cincinnati","2019","3/8/2001","4","21.8","WR","1","68.9","182","8.6","28.9",,"4.4",,"37.5","124.0",,
"Christian Sims","Bowling Green State","2019","2/15/2001","4","21.9","TE","0",,,,,,,,,,,
"Roschon Johnson","Texas","2019","1/31/2001","4","21.9","RB","1","72.0","219","9.6",,,"4.6",,"31.5","122.0",,
"Rakim Jarrett","Maryland","2020","1/24/2001","3","21.9","WR","1","71.8","192","9.4","31.4",,"4.4",,"35.5","123.0",,
"Sam Laporta","Iowa","2019","1/12/2001","4","22.0","TE","1","75.4","245","10.3","32.1",,"4.6",,"35","123.0","6.91","4.25"
